size time
41328 1.383
50928 2.038
123696 5.581
41272 1.262
45688 1.64
36432 1.139
41592 1.375
51792 1.951
41592 1.3
36424 1.176
66512 2.416
36480 1.213
120272 5.488
13520 0.389
50376 1.918
59496 2.435
36664 1.225
41176 1.421
46928 1.709
110784 4.9
40792 1.265
113112 5.728
41320 1.375
40936 1.323
72640 3.115
73552 3
41008 1.298
36576 1.289
46832 1.449
74944 2.968
36376 1.129
58680 2.368
132712 7.066
41352 1.294
51176 1.762
61976 2.397
70664 2.71
49768 2.044
40512 1.285
54160 2.282
41376 1.451
50384 2.216
58840 3.12
58840 3.084
62936 3.609
62936 3.463
60736 2.357
56728 2.064
36944 1.291
114248 5.316
71352 2.946
82560 3.534
69136 2.857
75384 3.147
46064 1.644
36424 1.202
104040 5.507
74112 2.84
37128 1.286
45112 1.552
57400 2.083
70272 2.562
54400 1.988
36120 1.186
55480 2.035
41440 1.439
36432 1.202
36624 1.261
41528 1.384
51272 1.686
36424 1.219
50200 1.785
36992 1.237
120272 5.428
47336 1.576
60056 2.42
36528 1.199
36432 1.139
