Total Decode Datalog Size
0.968 0.259 0.307 30824
0.977 0.268 0.310 30824
0.738 0.200 0.213 26728
0.770 0.209 0.243 26760
0.490 0.132 0.138 18568
0.525 0.142 0.150 22664
0.770 0.199 0.251 26760
0.415 0.106 0.114 18568
0.767 0.203 0.239 23560
0.464 0.127 0.133 18792
0.529 0.144 0.150 18792
0.696 0.181 0.217 21480
0.428 0.107 0.124 15976
0.961 0.272 0.307 30824
0.521 0.143 0.147 18536
0.723 0.193 0.238 22632
0.750 0.205 0.245 22632
0.502 0.127 0.137 18536
1.061 0.285 0.372 30600
0.617 0.172 0.196 22408
0.722 0.197 0.209 26504
0.987 0.263 0.333 30600
0.574 0.151 0.173 22408
1.023 0.275 0.353 28904
0.639 0.173 0.190 21352
0.717 0.194 0.210 23368
0.845 0.236 0.284 26728
0.551 0.148 0.167 19496
1.230 0.354 0.397 34664
0.686 0.191 0.209 26472
0.863 0.244 0.280 26472
0.893 0.243 0.292 26472
0.633 0.176 0.192 22376
4.092 0.681 2.519 55144
1.342 0.338 0.488 34664
1.399 0.347 0.517 34664
1.926 0.493 0.766 46952
1.115 0.274 0.452 30568
4.122 0.635 2.602 55368
1.318 0.331 0.474 32232
1.338 0.346 0.482 34888
2.472 0.517 1.136 47176
1.068 0.270 0.385 27400
4.038 0.788 2.247 67416
1.223 0.349 0.403 34648
1.546 0.437 0.526 38744
1.565 0.452 0.524 42840
1.296 0.334 0.493 34648
8.695 2.742 2.932 210792
8.349 2.642 2.823 239464
8.089 2.486 2.814 231272
8.790 2.608 3.144 239464
7.842 2.379 2.635 223080
8.710 2.728 2.929 208264
8.370 2.616 2.891 236904
8.206 2.544 2.814 231496
8.473 2.546 2.908 235592
7.879 2.396 2.713 223304
15.986 5.330 5.220 370520
8.663 2.806 2.844 218968
9.382 2.927 3.353 223064
9.783 2.886 3.630 223064
8.919 2.799 3.111 210776
1.585 0.472 0.528 55816
1.026 0.288 0.326 39432
1.139 0.304 0.353 39432
1.407 0.374 0.465 47624
0.855 0.235 0.266 35336
1.547 0.436 0.508 52032
0.996 0.279 0.318 36768
1.075 0.307 0.333 39744
1.298 0.357 0.399 43840
0.874 0.234 0.264 33536
2.109 0.624 0.660 64008
1.138 0.319 0.348 43528
1.381 0.372 0.443 47624
1.391 0.381 0.448 47624
1.031 0.273 0.323 39432
1.484 0.434 0.482 47184
0.887 0.259 0.279 34896
1.040 0.283 0.305 38992
1.302 0.361 0.426 43088
0.836 0.219 0.276 30800
1.507 0.419 0.486 44784
0.881 0.254 0.271 31856
0.981 0.278 0.298 35280
1.260 0.346 0.375 39376
0.789 0.217 0.241 29232
1.825 0.555 0.556 55392
1.023 0.282 0.301 39008
1.284 0.346 0.390 39008
1.367 0.378 0.439 43104
0.956 0.256 0.286 34912
1.486 0.423 0.471 47112
0.890 0.251 0.277 34824
1.033 0.282 0.302 38920
1.495 0.410 0.474 47112
0.743 0.200 0.216 30728
1.486 0.415 0.477 47424
0.899 0.257 0.279 33728
1.030 0.287 0.307 37216
